checkpoint,curve,layer,value
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,12,1.0914087153946803
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,13,1.063711500440776
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,14,1.0782578480552518
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,15,1.1056706066904587
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,16,1.111581442110096
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,17,1.1037448298294747
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,18,1.054306716899236
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,19,1.0806532841558656
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,20,1.034038411782026
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,21,1.0292305657086827
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,22,1.0689405923022255
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,23,1.0061282977975035
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,24,1.024659191770138
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,25,1.0013763483104223
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,26,0.9745410608093271
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,27,0.9759666700195226
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,28,0.9736574867954646
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,29,0.9521689434255867
