lineage,alpha,site,auroc,auroc_ci,tpr1,tpr1_ci,tpr5,tpr5_ci,d_auroc,d_auroc_ci,d_tpr1,d_tpr1_ci,d_tpr5,d_tpr5_ci,n_pos,n_neg
L3,0.25,EARLY,0.9888373480902778,"[0.9772676255967881, 0.9968336317274306]",0.7083333333333334,"[0.6119791666666666, 0.9401692708333329]",0.9557291666666666,"[0.8408203125, 0.9947916666666666]",-0.00012885199652779011,"[-0.00054931640625, 0.00029161241319442254]",0.0026041666666667407,"[-0.015625, 0.015625]",-0.00520833333333337,"[-0.01822916666666663, 0.01041666666666663]",384,384
L3,0.50,EARLY,0.9888712565104166,"[0.977464124891493, 0.9966300116644965]",0.7239583333333334,"[0.5833333333333334, 0.9348958333333334]",0.9557291666666666,"[0.8489583333333334, 0.9921875]",-9.494357638895057e-05,"[-0.0009494357638888395, 0.0007936265733506938]",0.01822916666666674,"[-0.05208333333333326, 0.08333333333333326]",-0.00520833333333337,"[-0.02604166666666663, 0.01822916666666663]",384,384
L3,0.75,EARLY,0.9880099826388888,"[0.9767569647894966, 0.9958631727430556]",0.7734375,"[0.5364583333333334, 0.9244791666666666]",0.9401041666666666,"[0.8462890625, 0.9869791666666666]",-0.0009562174479167407,"[-0.0026314629448784847, 0.0006579928927951136]",0.06770833333333337,"[-0.125, 0.11464843749999969]",-0.02083333333333337,"[-0.046875, 0.02083333333333337]",384,384
L3,1.00,EARLY,0.9861857096354166,"[0.9747177124023437, 0.9944732666015625]",0.7552083333333334,"[0.4947265625, 0.8984375]",0.9192708333333334,"[0.8436848958333334, 0.9791666666666666]",-0.0027804904513889506,"[-0.005466545952691035, -0.0003389146592881485]",0.04947916666666674,"[-0.16412760416666666, 0.13541666666666663]",-0.04166666666666663,"[-0.0703125, 0.04947916666666674]",384,384
L3,0.00,LATE,0.9763047960069444,"[0.9629652235243056, 0.9873065524631076]",0.6822916666666666,"[0.5859375, 0.8046875]",0.8645833333333334,"[0.7630208333333334, 0.9427083333333334]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",384,384
L3,0.25,LATE,0.9762030707465278,"[0.9630109998914931, 0.9872582329644097]",0.6666666666666666,"[0.59375, 0.8125]",0.8515625,"[0.7552083333333334, 0.9427083333333334]",-0.00010172526041662966,"[-0.0009023030598958093, 0.0007866753472222099]",-0.015625,"[-0.02604166666666674, 0.05208333333333326]",-0.01302083333333337,"[-0.0390625, 0.01822916666666663]",384,384
L3,0.50,LATE,0.97589111328125,"[0.9625491672092015, 0.9869466145833333]",0.6666666666666666,"[0.5911458333333334, 0.8099609374999996]",0.8411458333333334,"[0.7526041666666666, 0.9375]",-0.00041368272569441977,"[-0.001837836371527682, 0.0011394924587674346]",-0.015625,"[-0.08333333333333337, 0.04947916666666663]",-0.0234375,"[-0.05208333333333337, 0.02083333333333326]",384,384
L3,0.75,LATE,0.9741346571180556,"[0.9606116400824652, 0.985453626844618]",0.6380208333333334,"[0.5260416666666666, 0.796875]",0.8151041666666666,"[0.7395833333333334, 0.9270833333333334]",-0.0021701388888888395,"[-0.004910278320312547, 0.0006717258029513876]",-0.04427083333333326,"[-0.15885416666666663, 0.06263020833333262]",-0.04947916666666674,"[-0.07819010416666666, 0.015625]",384,384
L3,1.00,LATE,0.9649115668402778,"[0.9497205946180556, 0.9782172309027778]",0.5442708333333334,"[0.3671875, 0.7135416666666666]",0.7786458333333334,"[0.6770833333333334, 0.8723958333333334]",-0.01139322916666663,"[-0.01763390435112846, -0.005730183919270825]",-0.13802083333333326,"[-0.3359375, -0.0078125]",-0.0859375,"[-0.13802083333333337, -0.010416666666666737]",384,384
L4,0.00,PROMPT,0.98876953125,"[0.9756388346354167, 0.9982638888888888]",0.9270833333333334,"[0.875, 0.9791666666666666]",0.9479166666666666,"[0.8854166666666666, 0.9895833333333334]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",384,384
L4,0.25,PROMPT,0.9888237847222222,"[0.9760172526041667, 0.9981553819444444]",0.9166666666666666,"[0.8645833333333334, 0.96875]",0.9479166666666666,"[0.8958333333333334, 0.9895833333333334]",5.4253472222209886e-05,"[-0.0007595486111111605, 0.0009236653645832298]",-0.01041666666666674,"[-0.03125, 0.01041666666666663]",0.0,"[0.0, 0.03125]",384,384
